time,close,high,low,open,volumefrom,volumeto
1563321600,9696.15,9982.24,9086.51,9423.44,101032.08,965256823.84
1563408000,10638.35,10776.54,9292.61,9696.15,102443.07,1033842556.65
1563494400,10532.94,10757.41,10135.16,10638.35,62995.33,658190962.53
1563580800,10759.42,11094.32,10379.19,10532.94,56766.57,608954333.23
1563667200,10586.71,10833.99,10329.89,10759.42,38379.41,405339891.1
1563753600,10325.87,10676.6,10072.07,10586.71,50574.02,524442852.25
1563840000,9854.15,10328.44,9820.61,10325.87,52754.02,529438124.08
1563926400,9772.14,9920.54,9535.78,9854.15,54750.78,531611909.42
1564012800,9882.43,10184.43,9744.7,9772.14,40285.56,403576364.36
1564099200,9847.45,9890.05,9668.52,9882.43,31960.31,312717110.04
1564185600,9478.32,10202.95,9310.47,9847.45,53081.42,512612117.07
1564272000,9531.77,9591.52,9135.64,9478.32,28313.55,267243770.14
1564358400,9506.93,9717.69,9386.9,9531.77,31434.4,299936368.39
1564444800,9595.52,9749.53,9391.78,9506.93,28856.19,276402322.56
1564531200,10089.25,10123.94,9581.6,9595.52,42030.01,416343142.53
1564617600,10409.79,10488.81,9890.49,10089.25,43505.11,442037342.05
1564704000,10528.99,10666.64,10340.82,10409.79,44213.09,463688251.79
1564790400,10820.41,10915,10509.35,10528.99,34102.93,367536516.75
1564876800,10978.91,11074.95,10572.24,10820.41,39795.33,431699306.35
1564963200,11807.96,11945.38,10978.89,10978.91,74748.53,870917186.96
1565049600,11467.1,12316.85,11224.1,11807.96,80694.71,949534020.01
1565136000,11974.28,12138.55,11393.98,11467.1,70893.9,834719365.81
1565222400,11982.8,12042.87,11498.04,11974.28,49871.24,588463519.89
1565308800,11865.21,12027.57,11674.06,11982.8,39230.82,464214586.73
1565395200,11293.59,11971.35,11232.42,11865.21,40869.27,470049694.45
1565481600,11549.06,11584.35,11119.32,11293.59,25734.51,292814721.19
1565568000,11387.41,11554.74,11240.38,11549.06,20181.72,229908138.9
1565654400,10872,11439.48,10765.3,11387.41,43742.98,483240069.77
1565740800,10031.89,10873.44,9924.58,10872,70125.86,728247545.72
1565827200,10308.51,10451.61,9497.12,10031.89,84438.15,842979140.9
1565913600,10360.43,10544.97,9764.32,10308.51,62357.48,635040831.46
1566000000,10220.75,10474.64,10010.76,10360.43,24470.79,251018339.59
1566086400,10326.25,10512.89,10079.46,10220.75,21614.15,223456175.83
1566172800,10922.16,10937.26,10278.31,10326.25,39936.81,426168059.98
1566259200,10770.76,10956.06,10576.37,10922.16,30891.56,332208752.04
1566345600,10131.67,10805.7,9870.07,10770.76,57446.51,584554031.67
1566432000,10104.11,10231.99,9777.06,10131.67,38005.1,380411207.72
1566518400,10410.49,10468.14,10053.67,10104.11,31466.97,324471966.33
1566604800,10150.07,10430.99,9911.2,10410.49,28068.47,283755017.73
1566691200,10141.75,10353.95,9907.03,10150.07,25686.72,259448931.12
1566777600,10364.91,10626.93,10141.75,10141.75,42155.28,437989368.7
1566864000,10175.47,10381.92,10038.26,10364.91,26481.68,269489962.47
1566950400,9722.83,10281.59,9600.83,10175.47,49145.33,486936428.33
1567036800,9492.81,9724.52,9344.69,9722.83,42711.51,406305621.25
1567123200,9587.25,9699.85,9368.27,9492.81,28941.49,276606372.89
1567209600,9624.54,9714.11,9512.03,9587.25,15427.47,148320616.41
1567296000,9768.36,9823.53,9578.66,9624.54,15485.86,149995549.7
1567382400,10387.5,10459,9764.76,9768.36,42504.5,429220162.8
1567468800,10625.1,10773.27,10296.3,10387.5,52101.71,550564712.84
1567555200,10585.2,10827.14,10392.88,10625.1,41229.09,436210232.43
1567641600,10556.16,10659.6,10475.88,10585.2,23957.29,253210793.56
1567728000,10309.91,10938.39,10228.17,10556.16,54409.77,577987384.8
1567814400,10491.96,10574.99,10304.22,10309.91,18864.32,197436363.34
1567900800,10420.88,10595.71,10286.85,10491.96,18990.22,198370974.82
1567987200,10314.88,10514.59,10101.87,10420.88,33044.44,340516851.61
1568073600,10109.46,10395.1,9966.94,10314.88,26197.16,266382297.99
1568160000,10165.01,10251.97,9874.13,10109.46,28189.47,283998084.25
1568246400,10428.96,10472.07,10057.09,10165.01,26821.06,275877681.63
1568332800,10372.29,10591.45,9855.34,10428.96,24372.25,251594742.18
1568419200,10365.56,10455.38,10251.96,10372.29,15570.76,161565882.04
1568505600,10313.02,10401.53,10279.58,10365.56,11651.76,120645589.34
1568592000,10271.79,10411.06,10103.87,10313.02,27381.87,280632567.99
