Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD
01-Oct-2019,174.000000,-0.070000,-0.040214%,175.000000,173.810000,180.990000,"2,347,300","414,513,601.135000"
02-Oct-2019,173.040000,-0.960000,-0.551724%,173.120000,170.150000,173.600000,"2,236,675","384,962,134.625000"
03-Oct-2019,181.310000,+8.270000,+4.779242%,173.520000,172.010000,181.550000,"2,854,084","508,706,675.125000"
04-Oct-2019,181.970000,+0.660000,+0.364017%,181.140000,178.840000,183.120000,"1,894,621","343,773,671.935000"
07-Oct-2019,184.330000,+2.360000,+1.296917%,184.580000,184.230000,188.330000,"2,770,126","514,953,096.565000"
08-Oct-2019,177.230000,-7.100000,-3.851788%,180.640000,176.500000,180.640000,"2,836,107","505,289,755.675000"
09-Oct-2019,180.710000,+3.480000,+1.963550%,180.340000,179.200000,182.680000,"1,940,931","350,955,727.930000"
10-Oct-2019,183.030000,+2.320000,+1.283825%,180.620000,180.580000,185.050000,"2,144,265","392,745,548.945000"
11-Oct-2019,185.990000,+2.960000,+1.617221%,186.410000,185.760000,189.340000,"3,259,028","610,519,719.595000"
14-Oct-2019,186.530000,+0.540000,+0.290338%,185.640000,184.390000,187.370000,"1,390,025","258,659,201.565000"
15-Oct-2019,196.370000,+9.840000,+5.275291%,190.000000,189.610000,199.260000,"3,919,997","765,397,431.145000"
16-Oct-2019,194.210000,-2.160000,-1.099964%,195.000000,193.750000,199.220000,"2,499,322","489,869,745.670000"
17-Oct-2019,194.290000,+0.080000,+0.041193%,196.000000,192.100000,197.740000,"1,545,317","300,326,835.515000"
18-Oct-2019,190.490000,-3.800000,-1.955839%,194.310000,187.560000,195.610000,"2,054,369","393,345,387.805000"
21-Oct-2019,196.010000,+5.520000,+2.897790%,193.000000,192.250000,196.530000,"1,555,466","303,537,171.840000"
22-Oct-2019,195.610000,-0.400000,-0.204071%,198.300000,195.320000,202.500000,"2,137,877","422,610,105.270000"
23-Oct-2019,195.090000,-0.520000,-0.265835%,192.350000,191.060000,195.630000,"1,662,154","322,730,978.110000"
24-Oct-2019,196.860000,+1.770000,+0.907274%,196.750000,195.480000,198.200000,"1,432,816","282,383,516.340000"
25-Oct-2019,204.540000,+7.680000,+3.901250%,199.970000,199.790000,205.380000,"2,612,750","531,352,187.040000"
28-Oct-2019,206.790000,+2.250000,+1.100029%,206.180000,205.130000,208.880000,"1,917,110","396,637,412.450000"
29-Oct-2019,202.920000,-3.870000,-1.871464%,206.000000,202.180000,206.400000,"1,347,417","274,449,937.325000"
30-Oct-2019,203.000000,+0.080000,+0.039424%,204.000000,200.260000,204.230000,"1,326,237","268,433,140.880000"
31-Oct-2019,201.020000,-1.980000,-0.975369%,202.290000,197.850000,202.370000,"1,370,602","274,664,107.740000"
01-Nov-2019,202.590000,+1.570000,+0.781017%,200.160000,198.610000,203.890000,"2,300,692","465,243,618.515000"
04-Nov-2019,210.500000,+7.910000,+3.904438%,206.000000,204.930000,211.000000,"2,194,715","457,184,847.815000"
05-Nov-2019,209.610000,-0.890000,-0.422803%,210.490000,207.680000,211.540000,"1,580,124","331,931,875.225000"
06-Nov-2019,207.630000,-1.980000,-0.944611%,208.940000,204.150000,209.670000,"1,570,381","325,016,012.925000"
07-Nov-2019,208.340000,+0.710000,+0.341954%,210.320000,206.540000,211.700000,"2,087,528","437,096,400.680000"
08-Nov-2019,207.780000,-0.560000,-0.268791%,207.660000,206.200000,209.030000,"1,374,720","285,428,161.310000"
11-Nov-2019,208.180000,+0.400000,+0.192511%,207.650000,204.370000,209.090000,"1,317,519","273,229,878.295000"
12-Nov-2019,209.610000,+1.430000,+0.686906%,209.720000,208.320000,211.850000,"1,598,929","335,836,933.605000"
13-Nov-2019,208.570000,-1.040000,-0.496160%,208.350000,205.900000,209.450000,"1,689,555","351,279,758.695000"
14-Nov-2019,209.790000,+1.220000,+0.584936%,209.000000,206.530000,209.880000,"3,239,078","677,648,875.920000"
15-Nov-2019,204.190000,-5.600000,-2.669336%,209.900000,200.700000,211.750000,"5,886,705","1,208,545,490.445000"
18-Nov-2019,212.280000,+8.090000,+3.961996%,203.860000,203.810000,213.340000,"3,419,029","720,036,805.045000"
19-Nov-2019,207.990000,-4.290000,-2.020916%,211.100000,205.650000,211.980000,"2,547,729","530,544,346.550000"
20-Nov-2019,211.180000,+3.190000,+1.533728%,207.070000,206.730000,214.520000,"2,883,881","607,949,504.260000"
21-Nov-2019,210.180000,-1.000000,-0.473530%,211.000000,209.310000,213.240000,"1,779,088","375,292,305.405000"
22-Nov-2019,210.890000,+0.710000,+0.337806%,211.120000,210.000000,212.950000,"1,444,939","305,135,133.635000"
25-Nov-2019,221.210000,+10.320000,+4.893546%,216.140000,215.530000,221.410000,"3,019,132","663,779,153.720000"
26-Nov-2019,217.000000,-4.210000,-1.903169%,220.500000,216.750000,220.600000,"3,038,533","661,404,278.695000"
27-Nov-2019,218.240000,+1.240000,+0.571429%,218.670000,217.200000,220.050000,"1,259,724","274,965,040.140000"
29-Nov-2019,216.740000,-1.500000,-0.687317%,217.000000,215.780000,218.140000,"1,013,491","219,783,453.000000"
02-Dec-2019,209.250000,-7.490000,-3.455753%,216.460000,208.650000,217.000000,"2,300,159","484,934,454.685000"
03-Dec-2019,207.660000,-1.590000,-0.759857%,201.870000,200.380000,207.810000,"3,132,031","640,841,968.875000"
04-Dec-2019,209.420000,+1.760000,+0.847539%,211.020000,208.300000,211.920000,"1,861,747","391,118,469.320000"
