Exchange Date,Close,Volume,Net,%Chg,Open,Low,High
08-Apr-2019,"1,297.1650",,+5.8650,+0.4542%,"1,291.4000","1,291.1000","1,303.6089"
05-Apr-2019,"1,291.3000",,-0.8250,-0.0638%,"1,292.0600","1,284.0600","1,293.3733"
04-Apr-2019,"1,292.1250",,+2.4700,+0.1915%,"1,289.7000","1,280.5900","1,294.1117"
03-Apr-2019,"1,289.6550",,-3.0950,-0.2394%,"1,291.9600","1,287.9500","1,294.4250"
02-Apr-2019,"1,292.7500",,+5.3350,+0.4144%,"1,287.1500","1,284.7600","1,292.7500"
01-Apr-2019,"1,287.4150",,-4.4850,-0.3472%,"1,291.0800","1,286.2500","1,296.7880"
29-Mar-2019,"1,291.9000",,+1.7500,+0.1356%,"1,289.8900","1,286.3500","1,299.5721"
28-Mar-2019,"1,290.1500",,-19.3100,-1.4747%,"1,309.4500","1,288.3000","1,312.2277"
27-Mar-2019,"1,309.4600",,-5.9600,-0.4531%,"1,315.4050","1,307.6600","1,319.1697"
26-Mar-2019,"1,315.4200",,-6.3800,-0.4827%,"1,321.4100","1,312.4100","1,323.1400"
25-Mar-2019,"1,321.8000",,+8.6700,+0.6603%,"1,312.9500","1,310.7000","1,324.3295"
22-Mar-2019,"1,313.1300",,+3.9250,+0.2998%,"1,308.8900","1,306.5600","1,314.8309"
21-Mar-2019,"1,309.2050",,-3.0300,-0.2309%,"1,312.3900","1,303.0000","1,320.2209"
20-Mar-2019,"1,312.2350",,+5.9350,+0.4543%,"1,305.3600","1,298.2500","1,316.5835"
19-Mar-2019,"1,306.3000",,+2.8500,+0.2187%,"1,303.2000","1,302.2000","1,310.8226"
18-Mar-2019,"1,303.4500",,+2.3200,+0.1783%,"1,301.3900","1,297.8700","1,306.5273"
15-Mar-2019,"1,301.1300",,+5.0975,+0.3933%,"1,295.4900","1,293.4100","1,306.3295"
14-Mar-2019,"1,296.0325",,-12.9975,-0.9929%,"1,309.3600","1,292.5000","1,310.2053"
13-Mar-2019,"1,309.0300",,+7.2700,+0.5585%,"1,301.7600","1,300.3100","1,311.0753"
12-Mar-2019,"1,301.7600",,+7.7600,+0.5997%,"1,293.4600","1,291.8100","1,301.9449"
11-Mar-2019,"1,294.0000",,-4.0100,-0.3089%,"1,298.4500","1,289.9000","1,299.0210"
08-Mar-2019,"1,298.0100",,+12.5150,+0.9736%,"1,285.5250","1,284.9000","1,300.6100"
07-Mar-2019,"1,285.4950",,-0.8650,-0.0672%,"1,286.4637","1,280.9100","1,288.8110"
06-Mar-2019,"1,286.3600",,-0.8201,-0.0637%,"1,287.2253","1,283.0500","1,290.6742"
05-Mar-2019,"1,287.1801",,+0.7651,+0.0595%,"1,286.4161","1,280.7000","1,289.4995"
04-Mar-2019,"1,286.4150",,-6.8973,-0.5333%,"1,293.3650","1,282.5000","1,296.8550"
01-Mar-2019,"1,293.3123",,-19.3477,-1.4739%,"1,312.5600","1,289.9100","1,315.0780"
28-Feb-2019,"1,312.6600",,-7.1400,-0.5410%,"1,319.8000","1,312.1500","1,327.0400"
27-Feb-2019,"1,319.8000",,-8.7600,-0.6594%,"1,328.8400","1,316.4300","1,329.5600"
26-Feb-2019,"1,328.5600",,+1.4999,+0.1130%,"1,327.0400","1,323.2100","1,330.1899"
25-Feb-2019,"1,327.0601",,-0.6499,-0.0489%,"1,328.5100","1,324.9700","1,332.5300"
22-Feb-2019,"1,327.7100",,+4.6000,+0.3477%,"1,323.4301","1,321.0800","1,333.0900"
21-Feb-2019,"1,323.1100",,-15.3000,-1.1431%,"1,338.5100","1,321.8600","1,341.4900"
20-Feb-2019,"1,338.4100",,-2.6700,-0.1991%,"1,341.1700","1,336.5500","1,346.7300"
19-Feb-2019,"1,341.0800",,+14.9300,+1.1258%,"1,325.8199","1,322.2400","1,341.7800"
18-Feb-2019,"1,326.1500",,+5.1400,+0.3891%,"1,321.2000","1,320.3600","1,327.6400"
15-Feb-2019,"1,321.0100",,+8.5300,+0.6499%,"1,312.5800","1,310.7600","1,322.5800"
14-Feb-2019,"1,312.4800",,+6.3600,+0.4869%,"1,306.0900","1,302.5600","1,314.3600"
13-Feb-2019,"1,306.1200",,-4.3900,-0.3350%,"1,310.8101","1,304.4300","1,318.1200"
12-Feb-2019,"1,310.5100",,+2.2500,+0.1720%,"1,308.1600","1,306.2600","1,314.7300"
11-Feb-2019,"1,308.2600",,-5.7300,-0.4361%,"1,314.1500","1,303.5100","1,314.8101"
08-Feb-2019,"1,313.9900",,+3.9600,+0.3023%,"1,310.0699","1,307.1500","1,315.6400"
07-Feb-2019,"1,310.0300",,+3.8800,+0.2971%,"1,305.8100","1,302.1100","1,311.9301"
06-Feb-2019,"1,306.1500",,-8.8000,-0.6692%,"1,314.9500","1,305.3000","1,315.8000"
05-Feb-2019,"1,314.9500",,+3.2601,+0.2485%,"1,311.6899","1,310.2400","1,316.8000"
04-Feb-2019,"1,311.6899",,-6.2402,-0.4735%,"1,317.4800","1,308.2000","1,318.7300"
01-Feb-2019,"1,317.9301",,-2.6299,-0.1992%,"1,320.8800","1,315.5900","1,323.5100"
31-Jan-2019,"1,320.5600",,+1.0500,+0.0796%,"1,319.8000","1,317.1600","1,326.3000"
30-Jan-2019,"1,319.5100",,+7.6500,+0.5831%,"1,311.8700","1,308.4100","1,323.3400"
29-Jan-2019,"1,311.8600",,+8.4000,+0.6444%,"1,303.4600","1,302.0500","1,311.9800"
28-Jan-2019,"1,303.4600",,+0.3200,+0.0246%,"1,303.4200","1,297.2000","1,304.4200"
25-Jan-2019,"1,303.1400",,+22.5800,+1.7633%,"1,280.8600","1,279.3100","1,303.6100"
24-Jan-2019,"1,280.5600",,-1.4500,-0.1131%,"1,282.3600","1,276.5900","1,284.7700"
