Exchange Date,Close,Net,%Chg,Open,Low,High,Volume
22-Jul-2019,"7,905.119",+70.222,+0.896%,"7,862.379","7,862.266","7,918.466","149,003,736"
23-Jul-2019,"7,954.564",+49.445,+0.625%,"7,946.051","7,895.050","7,955.087","138,293,715"
24-Jul-2019,"8,010.605",+56.041,+0.705%,"7,928.778","7,926.985","8,010.826","169,253,722"
25-Jul-2019,"7,929.867",-80.738,-1.008%,"7,979.136","7,921.214","7,983.956","176,526,583"
26-Jul-2019,"8,016.953",+87.086,+1.098%,"7,992.125","7,986.719","8,027.179","166,605,790"
29-Jul-2019,"7,989.082",-27.871,-0.348%,"8,010.052","7,939.976","8,010.052","166,743,607"
30-Jul-2019,"7,952.473",-36.609,-0.458%,"7,927.561","7,923.446","7,983.110","145,343,431"
31-Jul-2019,"7,848.780",-103.693,-1.304%,"7,972.762","7,774.931","7,979.204","241,204,627"
01-Aug-2019,"7,801.146",-47.634,-0.607%,"7,866.600","7,769.018","8,000.942","229,348,980"
02-Aug-2019,"7,692.801",-108.345,-1.389%,"7,740.910","7,645.175","7,755.094","195,776,716"
05-Aug-2019,"7,415.691",-277.110,-3.602%,"7,510.020","7,356.265","7,528.903","260,461,968"
06-Aug-2019,"7,521.322",+105.631,+1.424%,"7,492.017","7,432.309","7,541.740","188,953,648"
07-Aug-2019,"7,551.900",+30.578,+0.407%,"7,436.143","7,386.389","7,569.895","192,753,658"
08-Aug-2019,"7,724.830",+172.930,+2.290%,"7,608.031","7,576.819","7,726.457","220,273,768"
09-Aug-2019,"7,646.268",-78.562,-1.017%,"7,684.562","7,591.136","7,709.505","177,031,195"
12-Aug-2019,"7,561.682",-84.586,-1.106%,"7,597.194","7,528.951","7,623.435","166,700,582"
13-Aug-2019,"7,728.151",+166.469,+2.201%,"7,561.682","7,553.330","7,778.343","213,465,649"
14-Aug-2019,"7,490.130",-238.021,-3.080%,"7,594.644","7,480.580","7,621.697","227,839,510"
15-Aug-2019,"7,484.888",-5.242,-0.070%,"7,503.143","7,429.363","7,523.499","175,066,955"
16-Aug-2019,"7,604.109",+119.221,+1.593%,"7,548.897","7,548.897","7,622.728","172,432,220"
19-Aug-2019,"7,719.323",+115.214,+1.515%,"7,715.412","7,688.087","7,740.739","158,809,787"
20-Aug-2019,"7,664.471",-54.852,-0.711%,"7,708.310","7,664.209","7,731.309","136,550,301"
21-Aug-2019,"7,733.216",+68.745,+0.897%,"7,731.746","7,706.570","7,754.656","114,957,536"
22-Aug-2019,"7,707.427",-25.789,-0.333%,"7,750.979","7,649.277","7,764.788","134,140,858"
23-Aug-2019,"7,464.995",-242.432,-3.145%,"7,658.481","7,442.933","7,722.428","226,228,815"
26-Aug-2019,"7,575.019",+110.024,+1.474%,"7,540.688","7,506.174","7,577.767","141,312,006"
27-Aug-2019,"7,566.027",-8.992,-0.119%,"7,630.457","7,531.965","7,640.684","161,637,050"
28-Aug-2019,"7,587.896",+21.869,+0.289%,"7,536.699","7,500.223","7,598.146","127,115,857"
29-Aug-2019,"7,702.312",+114.416,+1.508%,"7,678.688","7,654.312","7,723.942","132,362,552"
30-Aug-2019,"7,690.998",-11.314,-0.147%,"7,743.234","7,642.901","7,747.076","155,116,429"
03-Sep-2019,"7,609.513",-81.485,-1.059%,"7,634.031","7,584.817","7,670.174","141,818,490"
